canal A	canal B	canal C	ABC	AB	AC
71	44	51	0	51	44
72	58	48	0	48	58
57	45	49	0	49	45
69	51	50	0	50	51
84	59	60	0	60	59
62	45	45	0	45	45
60	47	48	0	48	47
68	49	53	0	53	49
53	41	41	0	41	41
60	43	47	0	47	43
68	50	53	0	53	50
56	40	48	0	48	40
61	39	49	0	49	39
53	44	39	0	39	44
50	39	38	0	38	39
59	49	44	0	44	49
63	49	46	0	46	49
65	46	53	0	53	46
73	46	58	0	58	46
67	47	51	0	51	47
83	66	56	0	56	66
66	52	51	0	51	52
50	41	38	0	38	41
63	46	48	0	48	46
67	51	50	0	50	51
63	51	46	0	46	51
68	47	48	0	48	47
57	45	43	0	43	45
66	49	51	0	51	49
56	47	40	0	40	47
64	47	51	0	51	47
58	45	43	0	43	45
61	41	46	0	46	41
68	52	48	0	48	52
72	56	52	0	52	56
63	47	43	0	43	47
65	52	47	0	47	52
52	33	45	0	45	33
55	33	38	0	38	33
69	49	55	0	55	49
50	40	41	0	41	40
71	52	53	0	53	52
82	61	59	0	59	61
58	46	40	0	40	46
56	45	39	0	39	45
52	36	41	0	41	36
58	45	42	0	42	45
56	42	45	0	45	42
50	37	39	0	39	37
58	47	37	0	37	47
64	42	50	0	50	42
49	39	32	0	32	39
58	44	43	0	43	44
74	52	59	0	59	52
56	37	42	0	42	37
50	39	35	0	35	39
59	40	47	0	47	40
69	53	50	0	50	53
57	46	46	0	46	46
44	33	36	0	36	33
71	49	54	0	54	49
71	48	57	0	57	48
54	38	40	0	40	38
64	49	49	0	49	49
74	57	53	0	53	57
51	35	39	0	39	35
50	38	36	0	36	38
66	51	48	0	48	51
68	53	55	0	55	53
56	36	43	0	43	36
58	51	38	0	38	51
60	42	43	0	43	42
63	47	46	0	46	47
75	58	52	0	52	58
66	48	52	0	52	48
66	50	48	0	48	50
61	48	43	0	43	48
60	42	51	0	51	42
58	49	45	0	45	49
52	36	41	0	41	36
60	44	48	0	48	44
57	38	45	0	45	38
66	51	50	0	50	51
56	40	42	0	42	40
73	51	60	0	60	51
67	55	44	0	44	55
67	54	51	0	51	54
51	39	32	0	32	39
61	49	41	0	41	49
51	33	40	0	40	33
80	67	62	0	62	67
80	61	56	0	56	61
45	34	31	0	31	34
54	42	42	0	42	42
62	49	43	0	43	49
58	48	42	0	42	48
58	47	39	0	39	47
56	39	42	0	42	39
68	52	52	0	52	52
60	44	39	0	39	44
49	36	37	0	37	36
57	42	46	0	46	42
60	45	42	0	42	45
72	59	53	0	53	59
63	49	43	0	43	49
67	50	51	0	51	50
60	46	46	0	46	46
49	36	38	0	38	36
63	44	49	0	49	44
59	47	44	0	44	47
60	41	48	0	48	41
67	44	49	0	49	44
50	32	36	0	36	32
75	57	51	0	51	57
73	56	55	0	55	56
64	55	42	0	42	55
66	53	47	0	47	53
61	43	47	0	47	43
58	40	43	0	43	40
72	55	58	0	58	55
58	41	44	0	44	41
57	42	41	0	41	42
58	47	39	0	39	47
63	46	46	0	46	46
63	51	49	0	49	51
68	50	53	0	53	50
67	53	47	0	47	53
69	53	55	0	55	53
66	47	48	0	48	47
67	47	49	0	49	47
65	44	52	0	52	44
70	57	51	0	51	57
67	53	53	0	53	53
44	31	38	0	38	31
67	50	56	0	56	50
62	52	43	0	43	52
60	47	42	0	42	47
73	56	54	0	54	56
64	47	51	0	51	47
62	45	46	0	46	45
61	49	43	0	43	49
61	45	41	0	41	45
57	40	43	0	43	40
49	38	37	0	37	38
60	48	44	0	44	48
72	57	52	0	52	57
57	46	44	0	44	46
74	55	60	0	60	55
50	37	36	0	36	37
71	64	53	0	53	64
75	52	49	0	49	52
63	50	47	0	47	50
74	55	53	0	53	55
81	63	65	0	65	63
63	50	41	0	41	50
62	41	54	0	54	41
55	40	45	0	45	40
54	38	45	0	45	38
67	48	53	0	53	48
60	40	49	0	49	40
63	50	44	0	44	50
62	50	54	0	54	50
59	43	47	0	47	43
73	55	58	0	58	55
55	40	41	0	41	40
53	43	36	0	36	43
65	50	53	0	53	50
57	39	48	0	48	39
57	40	42	0	42	40
73	54	58	0	58	54
64	49	48	0	48	49
62	42	52	0	52	42
65	45	42	0	42	45
70	48	56	0	56	48
65	50	46	0	46	50
52	39	35	0	35	39
71	53	57	0	57	53
82	71	59	0	59	71
64	46	50	0	50	46
56	35	44	0	44	35
59	45	43	0	43	45
83	62	60	0	60	62
51	45	33	0	33	45
62	51	43	0	43	51
50	35	34	0	34	35
54	39	41	0	41	39
53	40	37	0	37	40
51	41	44	0	44	41
66	54	49	0	49	54
60	49	45	0	45	49
68	44	52	0	52	44
51	40	38	0	38	40
62	47	45	0	45	47
69	52	57	0	57	52
64	53	48	0	48	53
64	50	50	0	50	50
63	45	51	0	51	45
68	46	53	0	53	46
44	27	37	0	37	27
69	54	51	0	51	54
71	58	47	0	47	58
58	46	43	0	43	46
55	41	41	0	41	41
63	47	49	0	49	47
64	52	46	0	46	52
62	52	49	0	49	52
54	37	39	0	39	37
55	36	39	0	39	36
58	45	38	0	38	45
72	53	53	0	53	53
61	44	48	0	48	44
67	39	57	0	57	39
59	48	47	0	47	48
58	41	46	0	46	41
73	53	50	0	50	53
60	48	42	0	42	48
